titulo,titulo_espanol,sinopsis
"Blade Runner 2049","Blade Runner 2049","Un nuevo blade runner, oficial K, descubre un secreto profundamente enterrado que tiene el potencial de sumir en el caos a lo que queda de la sociedad."
"Coco","Coco","El aspirante a músico Miguel, confrontado con la prohibición ancestral de la música en su familia, entra en la Tierra de los Muertos para encontrar a su tatarabuelo, un legendario cantante."
"Amélie","Amélie","Amélie es una joven camarera inocente e ingenua en París con su propio sentido de la justicia. Decide ayudar a quienes la rodean y, en el camino, descubre el amor."
"Pan's Labyrinth","El Laberinto del Fauno","En la España de 1944, la joven hijastra de un sádico oficial del ejército se refugia en un inquietante pero cautivador mundo de fantasía."
"City of God","Ciudad de Dios","En las favelas de Río de Janeiro, dos niños de caminos diferentes ven cómo sus vidas se entrelazan a medida que uno se convierte en fotógrafo y el otro en un capo de la droga."
"Oldboy","Oldboy","Después de ser secuestrado y encarcelado durante quince años, Oh Dae-Su es liberado solo para descubrir que debe encontrar a su captor en cinco días."
"A Clockwork Orange","La Naranja Mecánica","En el futuro, el sádico líder de una pandilla es encarcelado y se ofrece voluntario para un experimento de reeducación, pero no todo sale según lo planeado."
"The Shining","El Resplandor","Una familia se dirige a un hotel aislado durante el invierno donde una presencia siniestra influye en el padre para que se vuelva violento, mientras su hijo psíquico ve horribles presagios del pasado y del futuro."
"Apocalypse Now","Apocalipsis Now","Un oficial del ejército estadounidense que sirve en Vietnam tiene la tarea de asesinar a un coronel renegado de las Fuerzas Especiales que se ve a sí mismo como un dios."
"Dr. Strangelove","Dr. Insólito","Un general desquiciado desencadena un camino hacia el holocausto nuclear que un grupo de políticos y generales en una sala de guerra intenta desesperadamente detener."
"2001: A Space Odyssey","2001: Una Odisea del Espacio","La humanidad encuentra un misterioso artefacto enterrado bajo la superficie lunar y, con la ayuda de la inteligente supercomputadora H.A.L. 9000, se embarca en una búsqueda para encontrar sus orígenes."
"Taxi Driver","Taxi Driver","Un veterano de Vietnam mentalmente inestable trabaja como taxista nocturno en la ciudad de Nueva York, donde la decadencia y la sordidez percibidas alimentan su urgente necesidad de actuar violentamente."
"Reservoir Dogs","Perros de Reserva","Cuando un simple robo de joyas sale terriblemente mal, los criminales supervivientes comienzan a sospechar que uno de ellos es un informante de la policía."
"The Truman Show","El Show de Truman","Un vendedor de seguros alegre descubre que toda su vida no es más que un reality show de televisión."
"Shutter Island","La Isla Siniestra","En 1954, un mariscal estadounidense investiga la desaparición de una asesina que escapó de un hospital para criminales dementes."
"No Country for Old Men","No es País para Viejos","La violencia y el caos sobrevienen después de que un cazador se tropieza con una escena de crimen con drogas y más de dos millones de dólares en efectivo."
"Mad Max: Fury Road","Mad Max: Furia en el Camino","En un páramo postapocalíptico, una mujer se rebela contra un gobernante tiránico en busca de su tierra natal con la ayuda de un vagabundo llamado Max."
"Whiplash","Whiplash","Un joven y prometedor baterista se inscribe en un conservatorio de música donde sus sueños de grandeza son guiados por un instructor que no se detendrá ante nada para desarrollar el potencial de un estudiante."
"Her","Her","En un futuro cercano, un escritor solitario desarrolla una relación improbable con un sistema operativo diseñado para satisfacer todas sus necesidades."
"Arrival","La Llegada","Una lingüista trabaja con el ejército para comunicarse con formas de vida extraterrestres después de que doce misteriosas naves espaciales aparecen en todo el mundo."
"Django Unchained","Django Desencadenado","Con la ayuda de un cazarrecompensas alemán, un esclavo liberado se propone rescatar a su esposa de un brutal propietario de una plantación en Mississippi."
"Inglourious Basterds","Malditos Bastardos","En la Francia ocupada por los nazis durante la Segunda Guerra Mundial, un plan para asesinar a los líderes nazis por parte de un grupo de soldados judíos estadounidenses coincide con los planes vengativos de la dueña de un cine."
"The Prestige","El Truco Final","Después de que un trágico accidente separa a dos magos de escenario, se involucran en una amarga batalla por la supremacía, creando trucos cada vez más peligrosos."
"Memento","Memento","Un hombre con pérdida de memoria a corto plazo intenta localizar al asesino de su esposa."
"Eternal Sunshine of the Spotless Mind","Eterno Resplandor de una Mente sin Recuerdos","Cuando su relación se deteriora, una pareja se somete a un procedimiento médico para borrarse mutuamente de sus recuerdos."
"Requiem for a Dream","Réquiem por un Sueño","Las adicciones a las drogas de cuatro personas de Coney Island alimentan sus delirios y desesperación."
"Trainspotting","Trainspotting","Renton, profundamente inmerso en la escena de las drogas de Edimburgo, intenta limpiarse y dejar a sus amigos a pesar de la atracción de las drogas y la influencia de sus amigos."
"Fargo","Fargo","Jerry Lundegaard, un vendedor de coches de Minnesota, está tan desesperado por conseguir dinero que contrata a dos matones para que secuestren a su esposa."
"The Big Lebowski","El Gran Lebowski","A 'The Dude' Lebowski, un holgazán confundido con un millonario, se le pide que entregue un rescate para liberar a la esposa del millonario."
"Snatch","Cerdos y Diamantes","Criminales sin escrúpulos convergen en Londres para localizar un diamante robado."
"Lock, Stock and Two Smoking Barrels","Juegos, Traiciones y Dos Humoños Cañones","Un grupo de amigos se ve envuelto en el inframundo de Londres cuando una partida de cartas amañada los deja con una gran deuda."
"Kill Bill: Vol. 1","Kill Bill: Volumen 1","Después de despertar de un coma de cuatro años, una ex asesina se venga del equipo de asesinos que la traicionó."
"Kill Bill: Vol. 2","Kill Bill: Volumen 2","La novia continúa su búsqueda de venganza contra su ex jefe y amante Bill, el asesino de rattle snake y por último, pero no menos importante, Bill."
"Gran Torino","Gran Torino","El veterano de la Guerra de Corea, Walt Kowalski, se propone reformar a su joven vecino, un adolescente hmong que intentó robar su preciado Ford Gran Torino de 1972."
"Million Dollar Baby","Million Dollar Baby","Una camarera decidida trabaja con un entrenador de boxeo endurecido para convertirse en profesional."
"The Departed","Los Infiltrados","Una investigación encubierta en el sur de Boston sobre una pandilla irlandesa-estadounidense se convierte en una carrera para descubrir las identidades de un topo y un informante."
"Casino Royale","Casino Royale","Armado con una licencia para matar, el Agente Secreto James Bond se embarca en su primera misión como 007 para derrotar a un banquero privado que financia a terroristas en un juego de póquer de altas apuestas."
"Skyfall","Skyfall","El pasado de James Bond regresa para perseguirlo cuando M se ve amenazada por un antiguo agente vengativo."
"WALL-E","WALL-E","En un futuro lejano, un pequeño robot recolector de basura se embarca inadvertidamente en un viaje espacial que decidirá el destino de la humanidad."
"Up","Up","Carl Fredricksen, de 78 años, viaja a Paradise Falls en su casa equipada con globos, llevando sin saberlo a un joven polizón."
"Toy Story","Toy Story","Un vaquero de juguete se siente profundamente amenazado y celoso cuando una nueva figura de acción de un astronauta lo suplanta como el juguete principal en el dormitorio de un niño."
"Toy Story 2","Toy Story 2","Cuando Woody es secuestrado por un coleccionista de juguetes, Buzz y sus amigos se embarcan en una misión de rescate."
"Toy Story 3","Toy Story 3","Los juguetes son entregados por error a una guardería en lugar del ático justo antes de que Andy se vaya a la universidad."
"Toy Story 4","Toy Story 4","Cuando Bonnie agrega un nuevo juguete a su habitación, Woody se embarca en una aventura épica para asegurarse de que ningún juguete se quede atrás."
"Finding Nemo","Buscando a Nemo","Después de que su hijo es capturado en la Gran Barrera de Coral y llevado a Sydney, un pez payaso tímido emprende un viaje para traerlo a casa."
"Finding Dory","Buscando a Dory","La amistosa pero olvidadiza pez cirujana azul Dory se embarca en una búsqueda de sus padres."
"Ratatouille","Ratatouille","Una rata que puede cocinar hace una alianza inusual con un joven trabajador de la cocina en un famoso restaurante de París."
"The Incredibles","Los Increíbles","Una familia de superhéroes encubiertos, mientras intentan vivir una vida suburbana tranquila, se ven obligados a entrar en acción para salvar el mundo."
"Incredibles 2","Los Increíbles 2","Los Parr se enfrentan a nuevos desafíos mientras intentan restaurar la fe del público en los superhéroes."
"Monsters, Inc.","Monsters, Inc.","Para impulsar su ciudad, los monstruos tienen que asustar a los niños para que griten. Sin embargo, los niños son tóxicos para los monstruos, y después de que un niño se cuela, dos monstruos se dan cuenta de que las cosas pueden no ser lo que parecen."
"Monsters University","Universidad Monsters","Una mirada a la relación entre Mike y Sulley durante sus días en la universidad, donde comenzaron como rivales pero eventualmente se convirtieron en los mejores amigos."
"How to Train Your Dragon","Cómo Entrenar a tu Dragón","Un joven vikingo inadaptado que aspira a cazar dragones se convierte en el improbable amigo de un joven dragón, y aprende que puede haber más en las criaturas de lo que imaginaba."
"Shrek","Shrek","Un ogro gruñón, para recuperar su pantano, debe rescatar a una princesa testaruda con la ayuda de un burro hablador."
"Shrek 2","Shrek 2","Shrek y Fiona viajan al reino de 'Muy Muy Lejano' para celebrar su matrimonio, pero el padre de Fiona no está exactamente encantado."
"The Mask","La Máscara","Un empleado de banco con mala suerte se transforma en un maníaco superhéroe cuando usa una máscara misteriosa."
"My Neighbor Totoro","Mi Vecino Totoro","Cuando dos niñas se mudan al campo para estar cerca de su madre enferma, tienen aventuras con los maravillosos espíritus del bosque que viven cerca."
"Princess Mononoke","La Princesa Mononoke","En un viaje para encontrar la cura para la maldición de un Tatarigami, Ashitaka se encuentra en medio de una guerra entre los dioses del bosque y Tatara, una colonia minera."
"Grave of the Fireflies","La Tumba de las Luciérnagas","Un joven y su hermana pequeña luchan por sobrevivir en Japón durante la Segunda Guerra Mundial."
"Akira","Akira","Un proyecto secreto del gobierno militar pone en peligro a Neo-Tokio cuando convierte a un miembro de una pandilla de motociclistas en un psicópata rabioso que solo dos adolescentes y un grupo de psíquicos pueden detener."
"Ghost in the Shell","El Fantasma en la Máquina","Una cyborg policía y su compañero cazan a un misterioso y poderoso hacker conocido como el Puppet Master."
"Your Name.","Your Name: Tu Nombre","Dos extraños se encuentran inexplicablemente vinculados cuando comienzan a intercambiar cuerpos. La situación se vuelve más complicada cuando deciden conocerse en persona."
"A Silent Voice","Una Voz Silenciosa","Un joven acosador es condenado al ostracismo por sus compañeros de clase. Años después, decide volver a conectar con la chica sorda a la que solía intimidar."
"Spider-Man: Into the Spider-Verse","Spider-Man: Un Nuevo Universo","El adolescente Miles Morales se convierte en el Spider-Man de su realidad, cruzándose con cinco contrapartes de otras dimensiones para detener una amenaza para todas las realidades."
"Spider-Man: Across the Spider-Verse","Spider-Man: A Través del Spider-Verso","Miles Morales se embarca en una aventura épica a través del multiverso y se une a Gwen Stacy y un nuevo equipo de Spider-People."
"Logan","Logan","En un futuro cercano, un Logan cansado cuida a un enfermo Profesor X en un escondite en la frontera mexicana. Pero los intentos de Logan de esconderse del mundo y de su legado se ven frustrados cuando llega una joven mutante, perseguida por fuerzas oscuras."
"Deadpool","Deadpool","Un mercenario de habla rápida con un retorcido sentido del humor se somete a un experimento clandestino que lo deja con poderes curativos acelerados y una búsqueda de venganza."
"Deadpool 2","Deadpool 2","Deadpool forma un equipo de mutantes para proteger a un joven de un poderoso y despiadado mutante viajero del tiempo."
"Guardians of the Galaxy","Guardianes de la Galaxia","Un grupo de inadaptados intergalácticos debe unirse para evitar que un fanático guerrero destruya el universo."
"Guardians of the Galaxy Vol. 2","Guardianes de la Galaxia Vol. 2","Los Guardianes luchan por mantener unida a su nueva familia mientras desentrañan los misterios del verdadero parentesco de Peter Quill."
"Guardians of the Galaxy Vol. 3","Guardianes de la Galaxia Vol. 3","Los Guardianes se embarcan en una peligrosa misión para proteger a uno de los suyos, lo que podría llevar al fin de los Guardianes tal como los conocemos."
"The Avengers","Los Vengadores","Los héroes más poderosos de la Tierra deben unirse y aprender a luchar en equipo si quieren evitar que el travieso Loki y su ejército alienígena esclavicen a la humanidad."
"Iron Man","Iron Man","Después de ser mantenido cautivo en una cueva afgana, el ingeniero multimillonario Tony Stark crea un traje de armadura único para luchar contra el mal."
"Iron Man 2","Iron Man 2","Con el mundo ahora consciente de que él es Iron Man, Tony Stark debe enfrentarse a su declive y a un nuevo enemigo."
"Iron Man 3","Iron Man 3","Cuando Tony Stark encuentra a su mundo personal destruido, se embarca en una angustiosa búsqueda para encontrar a los responsables."
"Thor","Thor","El poderoso pero arrogante dios Thor es desterrado a la Tierra para vivir entre los humanos, donde aprende lo que se necesita para ser un verdadero héroe."
"Thor: The Dark World","Thor: El Mundo Oscuro","Thor se une a Loki para salvar los Nueve Reinos de una raza oscura liderada por el vengativo Malekith."
"Thor: Ragnarok","Thor: Ragnarok","Encarcelado en el otro lado del universo, el poderoso Thor se encuentra en una carrera contra el tiempo para volver a Asgard y detener a Hela, la diosa de la muerte."
"Thor: Love and Thunder","Thor: Love and Thunder","Thor emprende un viaje de autodescubrimiento, pero debe regresar para enfrentar a un nuevo enemigo: Gorr el Dios Carnicero."
"Black Panther","Pantera Negra","T'Challa, heredero del reino oculto pero avanzado de Wakanda, debe dar un paso al frente para guiar a su pueblo hacia un nuevo futuro y debe enfrentarse a un retador del pasado de su país."
"Black Panther: Wakanda Forever","Pantera Negra: Wakanda Por Siempre","El pueblo de Wakanda lucha por embarcarse en un nuevo capítulo mientras lloran la muerte del Rey T'Challa."
"Captain America: The First Avenger","Capitán América: El Primer Vengador","Steve Rogers, un hombre rechazado del ejército durante la Segunda Guerra Mundial, se convierte en el super soldado Capitán América."
"Captain America: The Winter Soldier","Capitán América: El Soldado de Invierno","Mientras Steve Rogers lucha por abrazar su rol en el mundo moderno, se une a un compañero Vengador y agente de S.H.I.E.L.D., Black Widow, para luchar contra una nueva amenaza de la historia: un asesino conocido como el Soldado de Invierno."
"Captain America: Civil War","Capitán América: Civil War","Desacuerdos políticos sobre la supervisión de los Vengadores los dividen en dos facciones, una liderada por Steve Rogers y otra por Tony Stark."
"Doctor Strange","Doctor Strange","Mientras está en un viaje de curación física y espiritual, un brillante pero arrogante cirujano se ve envuelto en el mundo de las artes místicas."
"Doctor Strange in the Multiverse of Madness","Doctor Strange en el Multiverso de la Locura","El Dr. Stephen Strange lanza un hechizo prohibido que abre las puertas al multiverso, incluyendo una versión alternativa de sí mismo."
"Wonder Woman","Mujer Maravilla","Cuando un piloto se estrella y habla de un conflicto en el mundo exterior, Diana, una guerrera amazona en entrenamiento, abandona su hogar para luchar en una guerra, descubriendo todos sus poderes y su verdadero destino."
"Wonder Woman 1984","Mujer Maravilla 1984","Diana Prince se enfrenta a dos enemigos formidables, Maxwell Lord y la Mujer Leopardo, mientras descubre un poder asombroso."
"The Hunger Games","Los Juegos del Hambre","Katniss Everdeen se ofrece como voluntaria para ocupar el lugar de su hermana menor en los Juegos del Hambre: una competencia televisada en la que dos adolescentes de cada uno de los doce distritos de Panem son elegidos al azar para luchar hasta la muerte."
"The Hunger Games: Catching Fire","Los Juegos del Hambre: En Llamas","Katniss y Peeta son obligados a participar en una edición especial de los Juegos del Hambre que enfrenta a los ganadores de años anteriores."
"The Hunger Games: Mockingjay - Part 1","Los Juegos del Hambre: Sinsajo - Parte 1","Katniss se une a la rebelión mientras el Distrito 13 se prepara para la guerra contra el Capitolio."
"The Hunger Games: Mockingjay - Part 2","Los Juegos del Hambre: Sinsajo - Parte 2","Katniss lidera a los rebeldes en la batalla final contra el Presidente Snow y las fuerzas del Capitolio."
"Harry Potter and the Sorcerer's Stone","Harry Potter y la Piedra Filosofal","Un niño huérfano se inscribe en una escuela de magia, donde aprende la verdad sobre sí mismo, su familia y el terrible mal que acecha al mundo mágico."
"Harry Potter and the Chamber of Secrets","Harry Potter y la Cámara Secreta","Harry investiga una serie de ataques misteriosos en Hogwarts, descubriendo una cámara secreta y un monstruo legendario."
"Harry Potter and the Prisoner of Azkaban","Harry Potter y el Prisionero de Azkaban","Harry Potter, Ron y Hermione regresan a Hogwarts para su tercer año de estudios, donde se sumergen en el misterio que rodea a un prisionero fugitivo que representa una peligrosa amenaza para el joven mago."
"Harry Potter and the Goblet of Fire","Harry Potter y el Cáliz de Fuego","Harry es seleccionado para competir en el Torneo de los Tres Magos, enfrentándose a desafíos mortales mientras Lord Voldemort regresa."
"Harry Potter and the Order of the Phoenix","Harry Potter y la Orden del Fénix","Harry forma un grupo secreto para enseñar defensa contra las artes oscuras mientras el Ministerio de Magia se niega a creer en el regreso de Voldemort."
"Harry Potter and the Half-Blood Prince","Harry Potter y el Misterio del Príncipe","Harry descubre un libro de pociones que perteneció al 'Príncipe Mestizo' mientras Dumbledore lo prepara para la batalla final contra Voldemort."
"Harry Potter and the Deathly Hallows – Part 1","Harry Potter y las Reliquias de la Muerte – Parte 1","Harry, Ron y Hermione emprenden una peligrosa misión para encontrar y destruir los Horrocruxes de Voldemort."
"Harry Potter and the Deathly Hallows – Part 2","Harry Potter y las Reliquias de la Muerte – Parte 2","Harry, Ron y Hermione continúan su búsqueda de los Horrocruxes en la batalla final en Hogwarts."
"The Hobbit: An Unexpected Journey","El Hobbit: Un Viaje Inesperado","Un hobbit reacio, Bilbo Bolsón, se embarca en un viaje a la Montaña Solitaria con un enérgico grupo de enanos para reclamar su hogar en la montaña y el oro que contiene del dragón Smaug."
"The Hobbit: The Desolation of Smaug","El Hobbit: La Desolación de Smaug","Bilbo y los enanos continúan su viaje hacia la Montaña Solitaria, donde Bilbo debe enfrentarse al dragón Smaug."
"The Hobbit: The Battle of the Five Armies","El Hobbit: La Batalla de los Cinco Ejércitos","Bilbo y Compañía se ven obligados a participar en una guerra contra un ejército de dragones para mantener el control de la Montaña Solitaria."
"Pirates of the Caribbean: The Curse of the Black Pearl","Piratas del Caribe: La Maldición de la Perla Negra","El herrero Will Turner se une al excéntrico pirata Capitán Jack Sparrow para salvar a su amada, la hija del gobernador, del ex aliado de Jack, que ahora es un no-muerto."
"Pirates of the Caribbean: Dead Man's Chest","Piratas del Caribe: El Cofre del Hombre Muerto","Jack Sparrow debe pagar una deuda de sangre al legendario Davy Jones mientras Will y Elizabeth se ven envueltos en la búsqueda."
"Pirates of the Caribbean: At World's End","Piratas del Caribe: En el Fin del Mundo","Los aliados de Jack Sparrow se unen para rescatarlo de la Gruta de Davy Jones y enfrentarse a la Compañía de las Indias Orientales."
"Avatar","Avatar","Un marine parapléjico enviado a la luna Pandora en una misión única se debate entre seguir las órdenes y proteger el mundo que siente que es su hogar."
"Avatar: The Way of Water","Avatar: El Camino del Agua","Jake Sully y Ney'tiri forman una familia en Pandora, pero deben proteger su hogar de una amenaza familiar del pasado."
"Die Hard","Duro de Matar","Un oficial de policía de Nueva York intenta salvar a su esposa y a varias otras personas que fueron tomadas como rehenes por terroristas alemanes durante una fiesta de Navidad en el Nakatomi Plaza en Los Ángeles."
"Die Hard 2","Duro de Matar 2","John McClane intenta evitar que terroristas tomen el control de un aeropuerto durante una tormenta de nieve en vísperas de Navidad."
"Die Hard With a Vengeance","Duro de Matar: La Venganza","John McClane debe resolver una serie de acertijos en toda la ciudad de Nueva York para evitar que un terrorista haga explotar bombas."
"Terminator 2: Judgment Day","Terminator 2: El Día del Juicio Final","Un cyborg, idéntico al que no pudo matar a Sarah Connor, ahora debe proteger a su hijo adolescente, John Connor, de un cyborg más avanzado y poderoso."
"Terminator: Dark Fate","Terminator: Destino Oscuro","Sarah Connor y un cyborg híbrido deben proteger a una joven de un nuevo Terminator extremadamente avanzado."
"Indiana Jones and the Raiders of the Lost Ark","Indiana Jones y los Cazadores del Arca Perdida","En 1936, el arqueólogo y aventurero Indiana Jones es contratado por el gobierno de los Estados Unidos para encontrar el Arca de la Alianza antes de que los nazis de Adolf Hitler puedan obtener sus asombrosos poderes."
"Indiana Jones and the Temple of Doom","Indiana Jones y el Templo de la Perdición","Indiana Jones viaja a la India para rescatar piedras mágicas y niños esclavizados de una secta malvada."
"Indiana Jones and the Last Crusade","Indiana Jones y la Última Cruzada","Indiana Jones se une a su padre en una búsqueda del Santo Grial, enfrentándose a los nazis una vez más."
"E.T. the Extra-Terrestrial","E.T. el Extraterrestre","Un niño problemático reúne el coraje para ayudar a un extraterrestre amistoso a escapar de la Tierra y regresar a su planeta de origen."
"Jaws","Tiburón","Cuando un tiburón asesino inicia una ova de terror en un pueblo costero, un jefe de policía, un biólogo marino y un viejo marinero se unen para cazar a la bestia."
"The Exorcist","El Exorcista","Cuando una adolescente es poseída por una entidad misteriosa, su madre busca la ayuda de dos sacerdotes para salvar a su hija."
"Psycho","Psicosis","Una secretaria de Phoenix malversa cuarenta mil dólares del cliente de su empleador, se da a la fuga y se registra en un motel remoto dirigido por un joven bajo el dominio de su madre."
"Vertigo","Vértigo","Un ex detective de policía que sufre de acrofobia investiga las extrañas actividades de la esposa de un viejo amigo, mientras se obsesiona peligrosamente con ella."
"Casablanca","Casablanca","Un cínico expatriado estadounidense se debate entre su amor por una mujer y ayudarla a ella y a su esposo, un líder de la resistencia checa, a escapar de la ciudad marroquí controlada por los franceses de Vichy."
"Citizen Kane","Ciudadano Kane","Tras la muerte de un magnate editorial, los periodistas luchan por descifrar el significado de su última palabra: 'Rosebud'."
"Sunset Boulevard","El Crepúsculo de los Dioses","Una guionista en apuros escribe un guion para una ex estrella de cine mudo que ha perdido el contacto con la realidad."
"Lawrence of Arabia","Lawrence de Arabia","La historia de T.E. Lawrence, el oficial inglés que unió y lideró con éxito a las diversas tribus árabes durante la Primera Guerra Mundial para luchar contra los turcos."
"Gone with the Wind","Lo que el Viento se Llevó","Una historia de la Guerra Civil estadounidense desde la perspectiva de una belleza sureña manipuladora y su turbulento romance con un especulador."
"The Wizard of Oz","El Mago de Oz","Dorothy Gale es arrastrada desde una granja de Kansas a la mágica Tierra de Oz y se embarca en una búsqueda con sus nuevos amigos para ver al Mago que puede ayudarla a regresar a casa."
